time,chw_total,hw_total,hw_kl,chw_kl,hw_cob,chw_cob,hw_SE1,chw_SE1,hw_SE2,chw_SE2,hw_SSB,hw_SSM,chw_SSM,hw_SAAC,chw_SAAC
2017-12-29 6:30:00,171.3230091631,201.419626236,21.8,42.4,9.3,14.7,147.5,82.4,0,9.00225,13.76,NULL,NULL,NULL,NULL
2017-12-29 6:15:00,124.903836444,199.9799160957,-0.1,0,51.6,14.8,136.8,84.6,0,12.6031,15.2,NULL,NULL,NULL,NULL
2017-12-29 6:00:00,134.3336812034,214.1799178123,13.2,7,45.5,15.1,144.8,84.6,0,12.6031,14.56,NULL,NULL,NULL,NULL
2017-12-29 5:45:00,126.2135038897,149.2796821594,-0.1,0,0,14.9,127.7,85.7,0,10.8027,14.88,NULL,NULL,NULL,NULL
2017-12-29 5:30:00,212.2102119438,235.3396426216,11.9,36.4,2.1,14.9,149.2,86.5,0,9.90247,12.96,0.1,0.1,7.1,9
2017-12-29 5:15:00,212.2007125355,271.5997766033,12.5,31.7,47.3,14.8,132.1,87.6,0,11.7029,12.64,0.1,0.1,21.6,8.5
2017-12-29 5:00:00,244.84978633,254.9197851196,12.4,52.3,47.2,14.8,124.2,84.3,9.6,12.6031,12.8,0.1,0.1,21.6,9
2017-12-29 4:45:00,192.0645444468,228.8598333374,26.2,8.6,0,14.8,139.8,83.5,0,15.3038,13.12,0.1,0.1,9.4,9
2017-12-29 4:30:00,178.7578234188,230.1996632591,23.3,13,0,14.8,129.4,81.6,13.2,0,12.8,0.1,0.1,4.8,9
2017-12-29 4:15:00,239.7695732974,295.2996760383,15.8,45.3,45.7,14.8,159.3,84.1,8.4,10.8027,12.64,0.1,10.5,21.6,9
2017-12-29 4:00:00,183.7903112881,274.3396014944,14.9,0,47.1,14.6,129.4,85.2,12.9,9.90247,12.8,0.1,8.8,5.6,9
2017-12-29 3:45:00,194.3232257888,214.6597286239,15.4,20.9,0,14.8,119.2,84.1,0,9.90247,13.44,0.1,0.1,21.6,9
